INDEX,DATE,YEAR,MONTH,ACP1,ACP2,ACP3,ACP4,ACP5,ACP6,ACP7,ACP8,ACP9,ACP10,ACP11,ACP12,ACP13,ACP14,ACP15,ACP16,ACP17,ACP18,ACP19,ACP20,ACP21,ACP22,ACP23,ACP24,ACP25
20,199308,1993,08,8971.772581,1214.717742,6910.279032,8654.230645,2484.879032,2253.024194,3800.403226,2217.741935,8482.854839,216.733871,13371.97419,3009.072581,10982.86774,468.75,2293.346774,2580.645161,3518.141935,9632.056452,1653.225806,1905.241935,4218.75,8538.31129,5302.422581,1053.427419,1869.959677
21,199309,1993,09,14072.92,1906.25,4557.288333,4151.041667,1489.583333,4859.375,4729.168333,3437.5,10713.54333,255.2083333,8203.126667,3604.166667,17807.28833,692.7083333,2484.375,1234.375,3109.375,2937.5,937.5,1828.125,3786.458333,13572.90833,4036.46,1598.958333,906.25
22,199310,1993,10,32286.455,1239.583333,8635.415,7661.458333,2437.5,3901.043333,8088.545,2541.666667,19500,270.8333333,21588.53667,4442.708333,18536.455,645.8333333,3265.626667,2755.208333,3401.043333,1208.333333,421.875,411.4583333,4000,15026.04,6739.58,5505.208333,9338.538333
23,199311,1993,11,8263.885185,3495.37037,17.36111111,12887.72963,7575.22963,8559.024074,13078.71852,8622.681481,15225.69444,208.3333333,18055.56111,4062.501852,7337.962963,6481.475926,11394.67593,8049.772222,4091.431481,11840.28704,2743.055556,1197.916667,5069.444444,7170.137037,11846.07037,9641.196296,6747.687037
24,199312,1993,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,199401,1994,01,0,67.70833333,0,0,0,98.95833333,26.04166667,0,52.08333333,15.625,0,0,0,2239.583333,1119.791667,0,13218.74667,6781.246667,4125,6338.541667,11343.75667,687.5,26.04166667,0,0
26,199402,1994,02,0,0,0,0,5.787037037,28.93518519,0,17.36111111,0,11.57407407,0,0,0,3188.657407,6105.324074,0,4646.990741,0,5202.546296,6417.824074,13859.95556,1574.074074,8715.275926,7141.222222,0
27,199403,1994,03,9296.87,5046.876667,5817.706667,0,380.2083333,0,921.8733333,583.3333333,5.208333333,140.625,281.25,286.4583333,0,1979.166667,4281.25,3552.08,2843.748333,2458.33,833.3333333,2442.708333,10307.30333,12708.34,2015.625,2458.331667,3067.708333
28,199404,1994,04,17279.1,5991.375862,16670.25517,1729.522414,4143.318966,1821.12069,6153.012069,3798.489655,9035.562069,1864.224138,3733.837931,3690.732759,10646.55,1853.448276,3744.612069,2025.862069,7327.582759,4137.931034,802.8017241,1072.198276,3453.663793,7839.441379,6934.27069,4121.763793,3071.12069
29,199405,1994,05,7015.623333,1848.958333,9031.251667,6442.706667,2947.916667,6270.831667,5109.375,3973.958333,6817.708333,2822.916667,968.75,4328.126667,5630.21,3229.166667,4317.708333,3130.208333,6619.79,7062.501667,765.625,734.375,1078.125,6713.541667,3416.668333,1234.375,437.5
30,199406,1994,06,11790.36458,2916.664583,11660.15417,3580.729167,4140.625,8873.7,5820.316667,4876.302083,22382.80417,9283.854167,15169.26458,2115.885417,12779.93958,2825.520833,4921.872917,5058.59375,5976.55625,5078.122917,1295.572917,618.4895833,1009.114583,5488.28125,3880.20625,1998.695833,748.6979167
31,199407,1994,07,10156.25,2656.248148,6973.381481,4728.009259,2737.268519,6186.338889,5653.935185,2881.944444,19143.52222,7517.362963,7019.677778,3929.398148,16689.81852,914.3518519,3622.685185,4184.025926,659.7222222,2025.462963,1903.935185,723.3796296,144.6759259,7222.22037,2337.962963,891.2037037,1793.981481
32,199408,1994,08,15156.23871,2056.451613,5050.404839,1280.241935,866.9354839,3936.491935,3714.717742,2928.427419,11567.53065,3689.514516,4087.701613,3921.370968,13513.1,2777.216129,2253.024194,1507.056452,2706.653226,3276.209677,1068.548387,488.9112903,10.08064516,6612.903226,2515.120968,1275.201613,660.2822581
33,199409,1994,09,33083.335,3307.291667,8177.085,3343.75,1979.166667,3848.958333,5697.915,3375,14770.825,8317.711667,6291.666667,2817.708333,19770.83167,3661.46,5932.29,2489.581667,927.0816667,7093.75,1734.375,1572.916667,833.3333333,11244.79,2911.458333,1078.125,3208.333333
34,199410,1994,10,28845.76452,5766.127419,8190.527419,3487.903226,3225.806452,4984.874194,6401.208065,1693.548387,19662.29516,12132.05161,16970.76129,6643.145161,12787.30645,2842.741935,5201.614516,2167.33871,2857.862903,4536.291935,619.9596774,740.9274194,645.1612903,3719.756452,483.8709677,2308.467742,4430.443548
35,199411,1994,11,35377.59583,3958.333333,10800.78125,9069.008333,6054.6875,8020.827083,10462.23333,3326.822917,25403.64583,5826.833333,7558.6,3144.53125,27851.56667,6236.98125,3131.508333,3984.375,16263.01667,17180.98125,3854.1625,4570.3125,2623.697917,24986.97917,11197.91458,8229.16875,9472.654167
36,199412,1994,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,199501,1995,01,0,31.25,0,10.41666667,3317.706667,0,15.625,62.5,62.5,0,0,0,10.41666667,0,0,0,348.9583333,0,0,0,1781.25,0,2921.876667,1953.123333,46.875
38,199502,1995,02,123.9224138,0,0,64.65517241,5053.87931,96.98275862,2079.739655,37.71551724,96.98275862,5.387931034,0,0,0,355.6034483,0,0,7537.710345,0,0,0,1923.491379,5.387931034,10.77586207,5.387931034,625
39,199503,1995,03,12807.45806,4521.170968,730.8483871,0,665.3225806,1451.614516,3326.612903,745.9677419,70.56451613,65.52419355,393.1451613,1391.129032,4112.9,519.1532258,226.8145161,0,8382.053226,630.0419355,619.9596774,927.4193548,3331.653226,2671.377419,1834.674194,448.5887097,3966.732258
40,199504,1995,04,12457.93846,4867.788462,6219.955769,504.8076923,1658.653846,4429.084615,5817.311538,2734.373077,5655.053846,1262.019231,3335.338462,6628.603846,12704.33077,2247.596154,4891.825,3305.286538,6820.903846,7229.575,4843.75,5474.759615,10186.30385,16292.06923,10342.55385,5576.921154,1400.240385
41,199505,1995,05,8906.253571,1422.991071,6378.342857,5306.925,4430.805357,5172.994643,7617.189286,4347.098214,20318.0875,7918.528571,8404.014286,3710.9375,10636.15357,2667.410714,5323.660714,3945.316071,5541.296429,3058.0375,2025.669643,864.9553571,3108.258929,10725.44464,4196.430357,3320.3125,3482.139286
42,199506,1995,06,14274.55893,2957.589286,13275.67143,5496.651786,3543.526786,3158.480357,4877.228571,2527.901786,14162.93929,5680.805357,5200.892857,3080.357143,8867.1875,3571.426786,4107.142857,792.4107143,9397.317857,7935.269643,27.90178571,368.3035714,898.4375,3660.716071,2762.276786,1484.375,870.5357143
43,199507,1995,07,13756.256,1793.75,12981.258,12187.498,5268.75,7218.748,6225,1937.5,16312.49,7881.254,12056.246,2231.25,14474.994,587.5,1900,612.5,2368.748,7118.752,706.25,406.25,1312.5,11562.504,4187.494,1981.252,775
44,199508,1995,08,17406.24833,2828.125,7369.791667,7312.496667,3109.375,4041.67,5036.458333,291.6666667,14296.88167,2343.751667,1322.913333,5260.416667,8604.163333,1442.708333,1187.5,161.4583333,3031.25,2187.5,1380.208333,984.375,3343.75,6807.295,1963.54,2140.625,1098.958333
